""	"AQ1099"	"AQ1072"	"AQ1308"	"AQ1149"
"165827"	4	0	0	0
"563240"	3	1	1	0
"820978"	31	0	0	0
"580743"	19	8	3	1
"740871"	0	0	1	0
"364926"	8	0	0	0
"805151"	0	1	4	0
"612706"	1	0	0	0
"589792"	1	0	0	0
"592628"	0	1	0	1
"1107027"	7	2048	62	2842
"542066"	0	2	0	0
"592832"	1	1	0	0
"1111294"	16	1	43	20
"580625"	2	1	8	0
"334459"	0	0	9	3
"1069592"	0	1	0	0
"1101451"	4	0	0	2
"248395"	1	16	9	0
"262095"	15	0	0	0
"984831"	0	0	0	1
"942852"	0	1	3	1
"588659"	0	0	0	3
"1088305"	0	0	0	1
"988314"	2	0	2	3
"589754"	0	0	0	1
"1013670"	4	0	0	0
"1108289"	0	0	1	1
"574655"	2	0	0	0
"995960"	0	1	0	0
"37948"	1	0	0	0
"818181"	2	0	0	0
"1106617"	110	332	357	109
"968954"	0	1	0	0
"559527"	0	2	0	12
"1654477"	358	0	4	105
"108049"	1	0	0	0
"540982"	167	0	0	7
"697479"	2	2	1	0
"813418"	4	2	5	1
"544847"	53	129	152	47
"544841"	8	9	10	3
"337083"	25	27	411	128
"805854"	7	0	0	0
"528421"	12	0	0	0
"547396"	51	34	1	7
"940737"	2	0	0	0
"674655"	12	26	21	4
"209511"	2	1	0	0
"1866742"	1	2	0	1
"1084865"	0	1	1	0
"963779"	0	1	0	0
"265873"	0	0	1	0
"804735"	0	1	0	0
"1082059"	2	1	0	1
"1097359"	0	0	2	0
"360432"	1	0	0	0
"541299"	5	15	25	7
"1111944"	5	2	14	5
"829814"	0	0	1	0
"1049387"	4	14	5	2
"711803"	2	1	2	0
"1062748"	4	8	4	1
"308309"	0	1	6	3
"4385756"	3	0	0	0
"1108960"	1	1	2	0
"833317"	0	0	0	1
"132837"	0	7	1	27
"1107011"	0	0	0	1
"987760"	5	1	10	0
"836783"	0	1	0	0
"646549"	0	0	1	0
"351979"	90	0	0	26
"688714"	1	0	0	0
"777272"	0	0	0	2
"839235"	0	1	0	0
"9510"	0	2	62	6
"156357"	0	1	0	0
"768553"	1	0	1	0
"529652"	3	0	0	0
"992510"	65	109	71	24
"933546"	0	0	0	1
"176420"	0	2	2	0
"822419"	0	0	1	0
"703741"	0	0	0	1
"582379"	7	0	0	0
"543151"	0	0	1	1
"1108275"	1	1	5	3
"160015"	0	0	2	0
"291844"	2	0	4	3
"573035"	42	49	26	23
"548576"	2	2	0	1
"1106324"	9	4	7	1
"588455"	0	0	0	1
"553623"	0	0	1	0
"712677"	2	6	0	9
"828483"	858	16	686	13
"539735"	0	2	0	0
"580495"	0	0	1	0
"667570"	0	0	2	0
"1016923"	0	0	0	1
"1078248"	0	1	0	0
"544680"	1	142	0	69
"1111582"	1	2	0	0
"572889"	242	10	3	6
"446403"	0	0	1	0
"34791"	21	8	2	4
"1108726"	46	126	86	41
"359750"	12	2	10	2
"538602"	0	1	3	1
"530833"	0	0	0	1
"922761"	1	0	0	0
"1099914"	0	0	0	1
"233981"	0	0	1	31
"563572"	1	0	0	0
"584500"	0	0	0	1
"519864"	1	0	0	0
"27938"	1	0	0	0
"739614"	0	20	10	3
"350697"	0	0	1	2
"1003206"	2	0	0	0
"255161"	0	0	0	2
"533373"	12	0	0	2
"879040"	1	0	0	0
"362965"	0	0	2	0
"1104529"	6	0	2	3
"536986"	41	0	4	0
"792393"	19	0	0	0
"833645"	0	0	0	1
