""	"AQ424"	"AQ525"	"AQ451"
"505587"	4	0	12
"165827"	5	0	7
"820978"	3	0	1
"1086889"	1	0	1
"1076969"	2	0	2
"919487"	0	0	5
"300811"	0	0	4
"180752"	1	0	5
"609982"	0	246	2
"807443"	2	0	0
"740871"	1	6	0
"1084157"	10	0	11
"689950"	4	0	5
"810959"	4	0	2
"805151"	0	2	0
"612706"	1	0	0
"439036"	2	0	13
"322927"	1	0	2
"939892"	0	3	2
"589792"	6	13	1
"420127"	4	0	4
"592628"	0	2	1
"873887"	2	0	3
"369064"	1	7	1
"865469"	25	0	21
"1107027"	11	0	11
"585419"	4	0	8
"1091685"	0	0	1
"4428164"	2	0	1
"932696"	1	0	1
"1084417"	0	0	2
"1060029"	7	0	8
"542066"	4	2	11
"929901"	3	0	3
"759916"	2	1	6
"561885"	3	0	0
"790545"	4	3	6
"1111294"	5	7	3
"876170"	2	0	2
"172413"	3	0	1
"788268"	2	0	2
"586458"	1	0	3
"580625"	3	0	2
"334459"	1	0	0
"248648"	0	2	0
"552922"	2	1	2
"363305"	2	0	1
"435928"	14	0	17
"558264"	0	0	1
"1069592"	1	0	1
"918840"	7	0	1
"510422"	5	0	6
"1101451"	32	2	33
"551969"	3	0	0
"1017181"	6	0	7
"591699"	1	0	2
"248395"	0	1	0
"503174"	1	0	2
"583656"	1	0	0
"367535"	1	0	0
"537290"	0	54	0
"984831"	21	0	12
"1080820"	4	0	8
"942852"	1	3	0
"540737"	3	0	8
"1081815"	5	0	4
"1088305"	7	0	12
"113396"	0	1	0
"988314"	104	9	100
"956811"	1	0	0
"874750"	2	0	7
"813945"	1	1	5
"279204"	0	2	0
"510174"	1	0	8
"4307652"	2	0	4
"183182"	0	1	1
"1013670"	0	59	0
"898309"	1	0	2
"1068470"	3	0	1
"1108289"	5	5	36
"574655"	10	0	8
"995960"	4	0	5
"1084906"	0	0	5
"465989"	5	0	6
"37948"	0	36	0
"543684"	6	0	6
"716006"	6	0	12
"386273"	0	0	3
"1106617"	8	265	4
"754823"	0	2	0
"894774"	2	0	0
"269907"	5	0	7
"787709"	3	2	3
"968954"	8	2	9
"593376"	2	0	1
"1654477"	48	140	0
"4404401"	4	0	3
"1108638"	10	0	7
"830290"	6	2	8
"806566"	0	0	2
"820086"	1	0	2
"1039872"	3	0	2
"450209"	2	0	3
"108049"	1	2	0
"310003"	1	0	0
"540982"	12	2	1
"1047075"	0	0	1
"1082607"	0	0	1
"697479"	0	0	1
"813418"	4	0	0
"544847"	1	13	2
"544841"	1	0	0
"1108308"	1	0	2
"1011712"	3	0	11
"337083"	470	16	1
"861807"	1	0	1
"805854"	2	257	0
"528421"	1	0	7
"133075"	2	0	1
"547396"	0	3	2
"940737"	0	0	2
"903158"	2	4	2
"308081"	0	1	0
"674655"	0	2	0
"209511"	4	6	0
"974121"	3	0	3
"1866742"	0	4	8
"388951"	4	1	0
"566062"	0	2	1
"297672"	0	26	0
"1084865"	199	1	221
"849156"	1	0	1
"829851"	9	0	10
"963779"	1	21	5
"265873"	1	2	0
"804735"	2	1	2
"1009894"	3	0	4
"1009362"	3	0	13
"1082059"	7	14	0
"1097359"	22	0	24
"360432"	0	0	1
"541299"	0	0	2
"276149"	36	0	43
"559613"	0	2	0
"780788"	2	0	3
"97361"	1	2	0
"532419"	0	2	1
"2752360"	0	13	0
"541086"	0	2	0
"558885"	0	4	0
"829814"	1	0	0
"1042850"	3	0	3
"830688"	0	2	0
"711803"	0	2	2
"1082539"	11	1	9
"1069816"	1	0	2
"1062748"	2	0	4
"584109"	0	0	4
"308309"	3	0	0
"4385756"	2	1	0
"1108960"	17	2	19
"833317"	1	1	0
"132837"	0	5	3
"987760"	1	135	3
"547808"	0	2	0
"760967"	1	0	0
"836783"	13	0	10
"906820"	5	0	2
"1007180"	2	0	1
"179845"	0	1	0
"785526"	5	2	6
"225795"	0	3	0
"687940"	5	0	14
"590218"	0	0	1
"1068902"	5	0	2
"1099802"	4	0	1
"579608"	27	0	31
"646549"	5	1	7
"351979"	2	13	0
"540269"	3	0	1
"403068"	2	0	0
"941487"	10	0	11
"688714"	8	0	12
"503387"	3	0	5
"206826"	1	0	5
"777272"	0	2	0
"721526"	10	0	6
"839235"	1	0	2
"580411"	1	8	1
"9510"	203	4	0
"156357"	6	10	0
"768553"	0	10	0
"814277"	5	0	8
"529652"	4	0	0
"992510"	4	23	10
"128390"	5	0	5
"933546"	19	0	12
"1020605"	1	0	0
"176420"	0	1	0
"822419"	4	0	5
"979107"	0	0	2
"889025"	13	0	2
"703741"	6	0	3
"582379"	5	0	0
"823476"	1	0	0
"543151"	8	14	6
"1108275"	2	6	2
"1834768"	0	0	2
"160015"	1	0	0
"291844"	12	0	0
"1105574"	5	0	0
"573035"	0	565	1
"349901"	4	0	8
"656307"	0	0	1
"590586"	0	2	2
"288283"	0	0	3
"996116"	4	0	5
"548576"	9	96	0
"1106324"	0	5	1
"288029"	0	5	0
"553623"	0	1	1
"828483"	842	31	3
"539735"	0	0	1
"580254"	2	0	0
"152229"	0	3	0
"535375"	2	0	0
"667570"	6	1	7
"571320"	1	0	0
"1016923"	1	0	1
"1084952"	2	0	9
"4422519"	6	0	5
"1005844"	1	1	0
"1078248"	2	0	2
"1074625"	3	0	4
"544680"	0	50	378
"1011088"	0	1	0
"925494"	4	0	6
"1111582"	7	0	2
"861376"	1	1	2
"572889"	21	68	0
"446403"	5	0	3
"589376"	2	0	4
"1108726"	2	12	4
"990864"	5	1	10
"359750"	6	1	0
"579141"	2	0	0
"1076316"	2	0	0
"909420"	0	2	0
"538602"	0	2	4
"941278"	0	17	0
"530833"	3	0	3
"544313"	7	37	2
"1047041"	17	0	10
"570385"	7	0	7
"1078207"	2	1	0
"4318989"	5	0	4
"1033018"	8	0	1
"835594"	9	0	1
"578837"	1	0	1
"570444"	0	3	0
"922761"	31	0	32
"4028105"	5	0	3
"777466"	2	1	0
"1099914"	6	0	9
"1048194"	1	0	4
"534507"	4	0	7
"233981"	0	895	0
"1029165"	0	0	1
"998905"	2	0	2
"557690"	0	1	0
"1011954"	7	0	3
"1565317"	1	0	2
"893979"	2	0	2
"1074210"	5	2	18
"27938"	0	19	0
"589597"	3	0	9
"883748"	0	0	5
"739614"	0	13	5
"1068572"	1	0	1
"593489"	0	0	1
"350697"	0	3	0
"1003206"	17	0	5
"648540"	0	1	0
"4360168"	0	5	0
"1101488"	1	9	0
"1083194"	95	19	80
"199416"	0	2	0
"255161"	2	0	3
