""	"AQ502"	"AQ760"	"AQ761"	"AQ577"
"563240"	0	0	0	3
"820978"	0	0	8	0
"180752"	0	1	0	0
"609982"	0	73	0	4
"807443"	1	0	0	0
"364926"	0	0	6	0
"805151"	1	111	1	0
"822354"	0	2	0	0
"322927"	0	1	0	0
"589792"	0	1	0	1
"592628"	1	0	0	0
"865469"	0	2	0	0
"1107027"	0	49	4	2
"585419"	0	1	0	0
"550936"	4	4	0	0
"542066"	0	10	0	0
"929901"	0	1	0	0
"759916"	0	1	1	0
"3507733"	0	0	0	1
"1111294"	2	44	179	28
"580625"	0	0	0	1
"334459"	0	0	7	1
"1101451"	0	2	1	0
"248395"	0	1	2	4
"989870"	1	0	1	0
"262095"	0	0	63	0
"583656"	0	1	9	0
"537290"	0	0	0	36
"588659"	1	1	0	0
"113396"	0	2	0	0
"988314"	0	1	1	2
"589754"	0	0	0	1
"1013670"	0	0	0	1
"1108289"	0	5	1	1
"995960"	0	1	0	0
"1084906"	0	0	1	0
"818181"	0	3	0	0
"1106617"	5	68	32	95
"968954"	1	0	0	0
"1654477"	2	565	965	1021
"1108638"	3	0	0	0
"830290"	0	0	0	1
"108049"	1	0	0	0
"540982"	0	0	303	36
"697479"	0	0	0	3
"544847"	0	10	3	37
"544841"	1	2	0	1
"337083"	26	457	732	212
"805854"	0	647	51	524
"547396"	0	1	0	0
"308081"	0	2	12	0
"674655"	0	3	0	6
"209511"	0	0	0	2
"1866742"	0	5	0	0
"566062"	0	1	0	0
"297672"	0	0	0	269
"1084865"	0	0	0	1
"265873"	0	0	0	1
"1082059"	1	0	0	0
"541299"	0	7	0	1
"1111944"	0	0	1	0
"829814"	0	0	0	1
"1049387"	0	0	0	4
"711803"	0	2	0	1
"1062748"	0	1	0	2
"308309"	1	7	9	6
"4385756"	0	0	7	12
"1108960"	0	1	0	0
"132837"	3	374	2	4
"1107011"	0	0	2	0
"987760"	1	41	1	25
"585648"	0	1	0	0
"906820"	0	1	0	0
"902334"	0	49	0	0
"351979"	0	362	242	496
"9510"	4	108	64	52
"156357"	0	0	0	4
"768553"	0	0	4	0
"814277"	0	0	0	1
"529652"	0	0	31	0
"992510"	0	7	6	23
"933546"	0	0	0	1
"807369"	0	10	0	0
"176420"	0	0	0	1
"582379"	0	0	15	0
"1108275"	0	1	1	1
"1834768"	0	0	1	0
"160015"	0	2	1	1
"291844"	0	3	9	6
"156145"	0	0	0	1
"573035"	6	42	22	15
"656307"	0	2	0	0
"590586"	0	0	0	1
"548576"	0	0	1	5
"1106324"	0	3	1	4
"239345"	0	3	0	0
"553623"	0	1	1	0
"591748"	1	0	0	0
"712677"	1	4	1	3
"828483"	58	201	499	703
"152229"	0	0	0	1
"571320"	0	0	9	0
"1084952"	1	0	0	0
"544680"	2	79	0	4
"1011088"	1	0	0	0
"1111582"	1	6	0	0
"572889"	2	330	1244	293
"1108726"	2	13	10	35
"990864"	0	2	0	0
"359750"	1	4	13	29
"538602"	0	0	0	2
"570444"	0	0	1	0
"233981"	1	0	3	338
"587444"	1	0	0	0
"519864"	0	0	5	0
"739614"	1	3	0	0
"1068572"	1	0	0	0
"350697"	0	140	4	35
"1003206"	0	0	0	1
"4360168"	0	2	0	0
"562010"	1	0	0	0
"1101488"	0	0	1	0
"1083194"	2	0	0	1
"533373"	0	0	34	1
"1052264"	0	0	0	1
"1051517"	0	16	5	0
"1083508"	0	0	0	1
"1104529"	0	0	0	58
"536986"	0	79	15	95
"792393"	0	4	22	1
"1096738"	0	0	0	1
"1002005"	1	7	1	0
"814282"	0	5	3	9
"New.0.ReferenceOTU246"	0	1	0	0
"New.0.ReferenceOTU177"	0	0	1	6
"New.0.ReferenceOTU174"	0	20	0	1
"New.0.ReferenceOTU302"	1	0	1	0
"New.0.ReferenceOTU782"	0	1	0	0
"New.0.ReferenceOTU392"	7	6	0	0
"New.0.ReferenceOTU347"	0	0	2	0
"New.0.ReferenceOTU138"	0	2	0	0
"New.0.ReferenceOTU541"	0	0	0	1
"New.0.ReferenceOTU311"	0	0	0	2
"New.0.ReferenceOTU727"	0	12	0	2
"New.0.ReferenceOTU791"	0	237	5	21
"New.0.ReferenceOTU445"	0	1	0	0
"New.0.ReferenceOTU453"	2	0	0	0
"New.0.ReferenceOTU428"	0	3	0	1
"New.0.ReferenceOTU806"	0	0	0	2
"New.0.ReferenceOTU678"	0	7	0	0
"New.0.ReferenceOTU488"	0	1	0	0
"New.0.ReferenceOTU41"	0	7	0	1
"New.0.ReferenceOTU43"	4706	136	7	17
"New.0.ReferenceOTU325"	1	0	0	0
"New.0.ReferenceOTU739"	3	0	0	0
"New.0.ReferenceOTU103"	0	2	1	1
"New.0.ReferenceOTU745"	0	4	7	19
"New.0.ReferenceOTU111"	1	1	0	0
"New.0.ReferenceOTU161"	1	0	0	0
"New.0.ReferenceOTU680"	0	25	2	21
"New.0.ReferenceOTU357"	52	15	2	0
"New.0.CleanUp.ReferenceOTU16366"	0	1	0	0
"New.0.CleanUp.ReferenceOTU32266"	0	0	0	1
"New.0.CleanUp.ReferenceOTU74266"	0	0	0	1
"New.0.CleanUp.ReferenceOTU111110"	0	1	0	0
