""	"AQ396"	"AQ447"	"AQ475"	"AQ8"
"820978"	0	0	12	0
"1086889"	0	1	0	0
"919487"	4	0	0	1
"552026"	0	1	0	0
"180752"	4	2	0	1
"580743"	0	0	0	1
"609982"	0	3	0	0
"740871"	22	0	0	0
"1084157"	0	19	0	0
"364926"	0	0	1	0
"810959"	0	2	0	0
"805151"	3	0	1	0
"439036"	1	1	0	0
"322927"	0	1	0	0
"939892"	0	1	0	0
"589792"	25	1	8	6
"420127"	0	5	0	0
"592628"	0	1	1	1
"873887"	0	1	0	0
"369064"	4	0	0	0
"865469"	2	11	0	12
"1107027"	4	91	7	135
"585419"	0	6	1	0
"539305"	10	0	0	0
"932696"	3	1	0	0
"1084417"	0	3	0	0
"1060029"	0	10	0	0
"542066"	3	9	0	0
"929901"	0	2	0	0
"759916"	0	2	0	1
"561885"	0	4	0	0
"790545"	0	2	0	0
"1111294"	139	10	25	4
"876170"	0	1	0	0
"172413"	0	2	0	0
"589691"	0	2	0	0
"788268"	0	1	0	0
"586458"	1	0	0	0
"580625"	0	1	0	0
"334459"	6	1	1	0
"435928"	0	11	0	0
"510422"	0	1	0	0
"809486"	2	0	0	0
"1101451"	22	15	0	0
"1017181"	0	7	0	0
"989870"	9	0	0	0
"503174"	0	2	0	0
"262095"	0	0	33	1
"583656"	0	0	21	0
"367535"	0	0	8	0
"537290"	1	0	0	0
"984831"	0	12	0	0
"1080820"	5	3	0	0
"540737"	0	1	0	0
"1081815"	0	2	0	0
"1088305"	0	8	0	0
"113396"	1	0	0	0
"988314"	40	67	3	1
"956811"	0	2	0	1
"874750"	0	3	0	0
"813945"	2	8	0	0
"279204"	3	1	0	0
"510174"	4	3	0	0
"4307652"	0	2	0	0
"183182"	3	0	1	0
"1013670"	16	0	0	3
"898309"	0	2	0	0
"1068470"	0	3	0	0
"279193"	1	0	0	0
"1108289"	28	6	0	1
"574655"	0	6	0	0
"995960"	1	1	0	0
"1084906"	0	2	0	0
"860929"	2	1	0	0
"465989"	0	4	0	0
"37948"	0	0	0	2
"818181"	2	0	0	0
"543684"	0	1	0	0
"716006"	0	9	0	0
"1106617"	37	5	2	14
"894774"	0	1	0	0
"269907"	0	5	0	0
"968954"	0	6	0	0
"593376"	0	3	0	0
"559527"	0	1	0	0
"1654477"	170	35	766	15
"4404401"	0	1	0	0
"1108638"	0	6	0	0
"239951"	3	0	0	0
"830290"	37	1	1	4
"806566"	1	0	0	0
"820086"	0	1	0	0
"1039872"	0	2	0	0
"1083037"	0	4	0	0
"450209"	0	1	0	0
"108049"	20	0	0	0
"310003"	0	2	0	0
"540982"	2	1	120	8
"238940"	2	0	0	0
"1047075"	3	0	0	0
"1082607"	0	1	0	0
"813418"	0	1	0	0
"544847"	0	0	0	1
"544841"	0	0	0	1
"271297"	3	0	0	0
"1108308"	0	2	0	1
"1011712"	1	2	0	0
"337083"	1672	23	185	145
"805854"	1	2	14	0
"528421"	0	0	3	0
"133075"	0	4	0	0
"547396"	1	1	0	0
"940737"	0	2	0	0
