""	"AQ137"	"AQ32"	"AQ31"
"505587"	1	0	0
"820978"	12	0	0
"609982"	0	9	93
"740871"	0	1	0
"364926"	7	0	0
"805151"	0	0	1
"822354"	1	0	0
"1111496"	0	1	0
"589792"	0	6	0
"865469"	0	0	11
"1107027"	0	0	5
"550936"	0	0	4
"542066"	0	0	2
"759916"	0	0	1
"790545"	0	1	0
"1111294"	242	37	1
"334459"	10	2	0
"1101451"	0	1	0
"248395"	0	8	0
"989870"	0	7	0
"262095"	179	0	0
"583656"	78	0	0
"367535"	59	0	1
"984831"	0	0	1
"988314"	0	4	0
"813945"	0	2	0
"1013670"	0	3	0
"279193"	0	1	0
"1108289"	0	0	15
"386273"	0	1	0
"1106617"	0	142	3
"1654477"	1235	860	11
"806566"	0	0	1
"540982"	223	0	0
"813418"	0	8	0
"544847"	0	62	0
"544841"	0	6	0
"337083"	335	423	4
"805854"	0	271	9
"308081"	8	1	0
"674655"	0	10	0
"297672"	0	0	40
"1084865"	1	0	0
"829851"	0	1	0
"963779"	0	6	0
"541299"	0	3	0
"532419"	0	1	0
"1111944"	0	3	0
"558885"	0	1	0
"711803"	0	7	0
"1062748"	0	2	0
"308309"	5	10	0
"4385756"	7	6	0
"1108960"	0	1	0
"132837"	0	0	4
"987760"	0	12	0
"785526"	0	6	0
"963854"	0	3	0
"590218"	0	0	1
"579608"	0	1	0
"902334"	0	0	3
"351979"	272	176	7
"351976"	0	1	0
"9510"	6	62	2460
"768553"	10	0	4
"529652"	22	0	0
"992510"	0	35	0
"582379"	214	0	0
"543151"	2	3	0
"1108275"	0	3	0
"160015"	0	1	40
"291844"	9	11	0
"573035"	0	33	8
"349901"	0	1	0
"587532"	1	0	0
"548576"	2	14	1
"1106324"	0	6	0
"591748"	1	1	1
"712677"	9	25	4
"828483"	428	922	1
"539735"	0	2	0
"667570"	3	0	0
"571320"	0	0	12
"544680"	0	0	266
"572889"	1125	587	2
"1108726"	0	58	1
"359750"	25	26	0
"538602"	0	0	1
"544313"	0	46	0
"570444"	0	1	0
"233981"	1	0	10
"563572"	3	0	0
"519864"	7	0	0
"589040"	0	1	0
"739614"	0	0	5
"350697"	1	533	0
"4360168"	0	0	10
"533373"	23	0	0
"1104529"	1	15	0
"536986"	0	41	0
"792393"	10	0	0
"1002005"	0	1	9
"814282"	0	23	0
"969805"	0	1	0
"New.0.ReferenceOTU246"	0	0	1
"New.0.ReferenceOTU827"	0	0	1
"New.0.ReferenceOTU177"	0	4	0
"New.0.ReferenceOTU174"	0	0	122
"New.0.ReferenceOTU392"	0	0	65
"New.0.ReferenceOTU311"	0	1	0
"New.0.ReferenceOTU727"	0	0	16
"New.0.ReferenceOTU791"	1	4	810
"New.0.ReferenceOTU428"	1	0	0
"New.0.ReferenceOTU678"	0	0	47
"New.0.ReferenceOTU41"	0	3	12
"New.0.ReferenceOTU43"	0	3	543
"New.0.ReferenceOTU103"	0	0	4
"New.0.ReferenceOTU745"	21	11	1
"New.0.ReferenceOTU168"	1	0	0
"New.0.ReferenceOTU165"	0	0	2
"New.0.ReferenceOTU161"	0	0	1
"New.0.ReferenceOTU680"	0	14	0
"New.0.ReferenceOTU357"	0	3	32
"New.0.CleanUp.ReferenceOTU9034"	0	0	1
"New.0.CleanUp.ReferenceOTU19193"	0	1	0
"New.0.CleanUp.ReferenceOTU74266"	0	1	0
