""	"AQ216"	"AQ526"	"AQ551"
"505587"	0	0	6
"165827"	0	0	4
"820978"	0	0	1
"1086889"	0	0	1
"1076969"	0	0	1
"919487"	0	0	1
"180752"	0	0	1
"580743"	0	1	5
"740871"	3	0	1
"1084157"	0	0	3
"364926"	43	0	0
"689950"	0	0	1
"810959"	0	0	1
"322927"	0	0	5
"420127"	0	0	5
"592628"	0	0	4
"873887"	0	0	1
"865469"	0	0	11
"1107027"	0	0	4
"585419"	0	0	2
"182418"	1	0	0
"4428164"	0	0	1
"932696"	0	0	4
"1060029"	0	0	5
"542066"	0	0	4
"759916"	1	0	0
"592832"	0	0	5
"561885"	0	0	1
"790545"	0	0	3
"1111294"	3	51	10
"876170"	0	0	1
"172413"	0	0	1
"359984"	2	0	0
"580625"	1	0	1
"334459"	0	5	0
"552922"	0	0	4
"435928"	0	0	6
"1069592"	0	0	1
"918840"	0	0	1
"510422"	0	0	4
"1101451"	3	0	15
"551969"	37	0	0
"1017181"	0	0	5
"503174"	0	0	1
"262095"	70	0	0
"367535"	41	1	0
"537290"	0	0	3
"984831"	0	0	18
"942852"	0	0	1
"588659"	0	0	2
"540737"	0	0	1
"1081815"	0	0	4
"1088305"	0	0	4
"988314"	4	0	64
"956811"	1	0	0
"874750"	0	0	2
"813945"	1	0	4
"510174"	0	0	1
"589754"	0	1	3
"1013670"	0	0	2
"898309"	0	0	1
"1068470"	0	0	2
"1108289"	0	0	6
"574655"	0	1	3
"995960"	0	0	1
"465989"	0	0	2
"37948"	0	0	1
"716006"	0	0	6
"1106617"	5	6	7
"894774"	0	0	1
"787709"	0	0	1
"968954"	0	0	8
"545445"	2	0	0
"559527"	0	0	1
"1654477"	323	334	65
"4404401"	0	0	4
"1108638"	0	0	7
"830290"	0	0	1
"1039872"	0	0	1
"108049"	1	0	0
"310003"	0	0	1
"540982"	267	8	0
"1047075"	2	0	1
"1082607"	0	0	2
"697479"	0	0	1
"813418"	0	0	3
"544847"	1	1	3
"1011712"	0	0	3
"337083"	436	21	1
"861807"	0	0	1
"805854"	0	0	6
"528421"	0	0	5
"940737"	0	0	1
"903158"	0	0	3
"308081"	3	28	0
"209511"	7	0	0
"1866742"	0	2	0
"388951"	0	0	2
"297672"	0	0	2278
"1084865"	1	1	120
"849156"	0	0	5
"829851"	0	0	10
"963779"	1	0	1
"804735"	0	0	1
"1009894"	0	0	1
"1009362"	0	0	3
"1082059"	17	0	3
"1097359"	6	0	11
"360432"	0	0	1
"541299"	2	0	0
"276149"	0	0	23
"780788"	0	0	3
"914108"	1	0	0
"719367"	0	0	1
"532419"	1	0	0
"836539"	0	0	1
"1042850"	0	0	1
"830688"	2	0	0
"711803"	0	0	1
"1082539"	0	0	5
"1062748"	0	0	1
"308309"	7	0	0
"4385756"	9	8	1
"1108960"	0	0	9
"833317"	0	0	1
"132837"	0	0	1
"987760"	8	0	0
"1044436"	0	0	1
"836783"	0	0	2
"785526"	0	0	2
"687940"	0	0	11
"579608"	0	0	33
"646549"	0	0	2
"351979"	180	100	7
"540269"	0	0	1
"403068"	0	0	1
"941487"	0	0	5
"503387"	0	0	5
"206826"	0	0	3
"721526"	0	0	4
"9510"	75	1	1
"156357"	3	0	2
"814277"	0	0	3
"529652"	129	5	2
"992510"	1	0	10
"128390"	0	0	8
"933546"	0	1	3
"1020605"	0	1	2
"822419"	0	0	1
"1075821"	0	0	2
"889025"	0	0	4
"582379"	1	41	0
"823476"	3	0	2
"543151"	5	0	3
"1108275"	0	0	4
"827497"	0	0	1
"160015"	3	0	0
"291844"	8	6	0
"1105574"	0	0	5
"573035"	22	9	1
"349901"	0	0	1
"996116"	0	0	1
"548576"	14	0	10
"591748"	0	0	1
"712677"	0	1474	0
"828483"	1171	1606	19
"156109"	0	1	0
"535375"	227	0	0
"667570"	0	0	15
"996487"	0	0	3
"1084952"	0	0	2
"4422519"	0	0	3
"433739"	1	0	0
"1074625"	0	0	1
"544680"	0	7	3
"1011088"	2	0	0
"925494"	0	0	1
"807522"	0	0	1
"1111582"	2	0	1
"572889"	304	323	1
"446403"	0	0	6
"1107128"	0	0	1
"589376"	0	0	1
"553648"	0	0	1
"1108726"	1	0	1
"990864"	0	0	6
"359750"	16	26	0
"579141"	0	0	3
"1076316"	0	0	1
"530833"	0	0	3
"1047041"	0	0	9
"570385"	0	0	1
"1078207"	0	0	2
"593997"	0	0	1
"4318989"	0	0	2
"1033018"	0	0	4
"835594"	0	0	1
"922761"	0	0	22
"4028105"	0	0	2
"777466"	0	0	2
"1099914"	0	0	3
"1048194"	0	0	4
"534507"	0	0	5
"233981"	0	0	29
"587444"	2	0	0
"998905"	0	0	2
"563572"	0	2	0
"1011954"	0	0	5
"893979"	0	0	3
"1074210"	0	0	12
"519864"	6	1	0
"27938"	1	0	3
"589597"	0	0	5
"883748"	0	0	4
"1068572"	0	0	2
"593489"	0	0	2
"350697"	1	1	1
"134265"	0	0	1
"1003206"	4	0	4
"1101488"	5	0	0
"1083194"	0	0	70
"176591"	0	0	1
"917156"	0	0	1
"2855257"	0	0	1
"938948"	0	0	3
"879040"	0	0	9
"1052264"	1	0	0
"1051517"	0	0	1
"1083508"	0	0	15
"1059729"	0	0	2
"362965"	0	0	1
"654742"	0	0	1
"1104529"	1	0	2
"536986"	4	0	14
"792393"	0	0	2
"833645"	0	0	2
"1096738"	0	0	4
"1002005"	3	0	16
"269774"	0	0	1
"1075891"	0	0	1
"578911"	0	0	1
"706432"	5	0	5
"966091"	0	0	3
"814282"	1	0	0
"969805"	0	0	4
"516611"	0	0	3
"441265"	0	0	11
"New.0.ReferenceOTU392"	0	0	1
"New.0.ReferenceOTU179"	18	0	0
"New.0.ReferenceOTU138"	0	1	6
"New.0.ReferenceOTU225"	3	0	0
"New.0.ReferenceOTU791"	0	15	27
"New.0.ReferenceOTU445"	0	1	0
"New.0.ReferenceOTU453"	0	0	2
"New.0.ReferenceOTU428"	4	0	0
"New.0.ReferenceOTU252"	0	0	4
"New.0.ReferenceOTU41"	0	0	2
"New.0.ReferenceOTU43"	3	10	13
"New.0.ReferenceOTU103"	1	0	0
"New.0.ReferenceOTU745"	1	6	20
"New.0.ReferenceOTU169"	0	7	0
"New.0.ReferenceOTU167"	0	0	8
"New.0.ReferenceOTU161"	0	1	0
"New.0.ReferenceOTU680"	0	0	1
"New.0.ReferenceOTU357"	0	2	0
"New.0.CleanUp.ReferenceOTU1621"	16	14	0
"New.0.CleanUp.ReferenceOTU11696"	1	0	0
"New.0.CleanUp.ReferenceOTU12466"	0	0	1
"New.0.CleanUp.ReferenceOTU14180"	0	0	2
"New.0.CleanUp.ReferenceOTU15172"	0	0	1
"New.0.CleanUp.ReferenceOTU15269"	5	10	0
"New.0.CleanUp.ReferenceOTU16366"	0	25	0
"New.0.CleanUp.ReferenceOTU17616"	0	1	1
"New.0.CleanUp.ReferenceOTU19193"	92	1	388
"New.0.CleanUp.ReferenceOTU22635"	14	11	0
"New.0.CleanUp.ReferenceOTU32288"	0	0	1
"New.0.CleanUp.ReferenceOTU34183"	0	1	0
"New.0.CleanUp.ReferenceOTU38474"	0	2	0
"New.0.CleanUp.ReferenceOTU42791"	1	0	0
"New.0.CleanUp.ReferenceOTU43340"	7	17	0
"New.0.CleanUp.ReferenceOTU44415"	0	0	1
"New.0.CleanUp.ReferenceOTU46312"	0	0	1
"New.0.CleanUp.ReferenceOTU50341"	11	16	0
"New.0.CleanUp.ReferenceOTU73319"	0	0	1
"New.0.CleanUp.ReferenceOTU100929"	0	0	2
"New.0.CleanUp.ReferenceOTU104032"	0	0	1
"New.0.CleanUp.ReferenceOTU104626"	10	7	0
"New.0.CleanUp.ReferenceOTU107099"	0	0	1
"New.0.CleanUp.ReferenceOTU108577"	30	6	0
"New.0.CleanUp.ReferenceOTU109902"	0	0	1
"New.0.CleanUp.ReferenceOTU111477"	6	13	0
"New.0.CleanUp.ReferenceOTU116380"	24	13	0
"New.0.CleanUp.ReferenceOTU119987"	1	0	0
"New.0.CleanUp.ReferenceOTU121922"	0	0	1
"New.0.CleanUp.ReferenceOTU125389"	6	0	7
"New.0.CleanUp.ReferenceOTU131470"	571	0	0
"New.0.CleanUp.ReferenceOTU132519"	0	0	1
"New.0.CleanUp.ReferenceOTU135290"	1	0	0
"New.0.CleanUp.ReferenceOTU138349"	24	18	1
"New.0.CleanUp.ReferenceOTU139618"	0	0	1
"New.0.CleanUp.ReferenceOTU143240"	0	0	3
"New.1.ReferenceOTU260"	40	37	0
"New.1.ReferenceOTU183"	31	3	0
"New.1.ReferenceOTU85"	1	1	0
"New.1.CleanUp.ReferenceOTU26526"	0	0	1
"New.3.ReferenceOTU478"	0	0	9
"New.3.ReferenceOTU520"	0	0	1
"New.3.ReferenceOTU105"	0	0	167
"New.3.ReferenceOTU59"	0	0	4
