""	"AQ1539"	"AQ1541"	"AQ1490"	"AQ1436"
"563240"	5	1	0	6
"820978"	0	36	0	0
"609982"	0	0	0	14
"807443"	0	0	0	1
"740871"	0	1	0	5
"364926"	0	1	0	0
"689950"	2	0	0	0
"805151"	2	4	0	0
"589792"	2	1	0	6
"592628"	0	1	0	0
"369064"	0	0	0	1
"865469"	1	0	5	0
"1107027"	6	0	2	331
"585419"	1	1	0	0
"542066"	0	0	0	4
"759916"	0	1	0	3
"592832"	0	0	0	2
"1111294"	305	11	67	1
"580625"	0	3	0	7
"334459"	19	0	4	0
"1101451"	1	0	0	1
"248395"	7	7	0	15
"262095"	0	14	0	0
"583656"	0	1	0	0
"367535"	0	1	0	0
"537290"	4	0	0	0
"984831"	0	0	0	1
"942852"	0	0	0	2
"588659"	0	1	0	0
"988314"	8	0	1	2
"589754"	0	0	0	2
"1013670"	4	0	0	0
"1108289"	2	0	0	47
"860929"	0	0	0	1
"529216"	1	0	0	0
"818181"	0	1	0	1
"716006"	0	3	0	0
"1106617"	307	176	15	380
"269907"	1	0	0	0
"968954"	0	0	0	2
"559527"	0	0	0	3
"1654477"	1063	644	76	0
"830290"	3	0	0	2
"540982"	326	56	1	0
"697479"	3	1	0	2
"813418"	9	3	1	14
"544847"	85	70	14	132
"544841"	5	7	1	14
"337083"	459	99	1224	75
"539213"	1	0	0	0
"805854"	0	6	2	2
"528421"	0	2	0	0
"547396"	1	0	0	47
"940737"	2	0	0	0
"308081"	4	7	11	5
"674655"	27	11	0	23
"209511"	7	0	1	2
"974121"	2	0	0	0
"1866742"	0	0	0	4
"566062"	0	0	0	1
"821717"	2	0	0	0
"1084865"	1	2	0	2
"849156"	0	0	0	1
"1082059"	7	2	0	21
"1097359"	0	0	0	2
"541299"	14	5	0	20
"276149"	1	0	0	0
"2752360"	3	0	0	2
"1111944"	3	0	0	10
"541086"	0	0	0	1
"836539"	0	0	0	3
"829814"	2	0	0	1
"1049387"	2	1	0	7
"711803"	4	1	0	1
"1062748"	10	4	0	3
"308309"	4	0	6	0
"4385756"	1	9	6	0
"132837"	0	0	0	24
"845561"	0	0	0	3
"987760"	12	2	1	31
"588165"	1	0	0	0
"351979"	297	212	0	0
"351976"	0	22	0	0
"836573"	0	0	0	1
"941487"	2	0	0	1
"777272"	3	0	0	0
"721526"	0	0	1	0
"9510"	0	3	1009	84
"156357"	0	0	6	1
"768553"	0	6	0	0
"529652"	0	8	0	0
"992510"	60	62	4	129
"933546"	0	1	0	0
"807369"	1	0	0	0
"1020605"	0	0	0	2
"176420"	1	0	0	26
"889025"	2	0	0	0
"703741"	1	0	0	9
"582379"	0	19	0	0
"823476"	1	0	0	0
"543151"	8	2	0	1
"1108275"	1	3	1	4
"160015"	0	0	16	1
"291844"	2	5	34	0
"573035"	88	40	5	49
"4440085"	1	0	0	0
"548576"	13	0	1	21
"1106324"	8	4	1	11
"288029"	0	0	1	0
"239345"	0	3	0	0
"4342113"	2	0	0	1
"712677"	5	0	0	0
"828483"	190	1280	1254	28
"152229"	1	0	0	0
"667570"	1	0	2	0
"571320"	0	1	10	1
"544680"	1	0	0	133
"1011088"	0	0	0	1
"925494"	0	1	0	0
"861376"	0	0	0	5
"572889"	370	443	256	203
"446403"	2	0	0	0
"34791"	0	1	0	0
"1108726"	111	65	9	144
"990864"	2	0	0	4
"359750"	2	24	15	0
"538602"	0	0	0	187
"593997"	0	0	0	2
"570444"	0	0	0	1
"777466"	2	0	0	1
"233981"	45	2	0	0
"587444"	3	0	0	0
"563572"	0	4	0	0
"1565317"	1	0	0	0
