""	"AQ999"	"AQ736"	"AQ215"	"AQ189"	"AQ710"	"AQ239"	"AQ554"	"AQ684"	"AQ762"	"AQ371"	"AQ111"	"AQ84"	"AQ135"	"AQ345"	"AQ658"	"AQ58"	"AQ320"	"AQ318"	"AQ261"	"AQ266"	"AQ265"
"806566"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"820086"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1039872"	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0
"1083037"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0
"450209"	2	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0
"108049"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"310003"	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0
"540982"	0	48	20	35	2	1	40	150	4	0	112	0	0	302	67	1	81	1	0	0	1
"1047075"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"1082607"	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0
"697479"	0	0	0	0	0	3	3	1	0	26	1	2	0	1	0	1	0	1	0	0	0
"813418"	1	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	1	0	0	0
"544847"	2	2	0	0	0	5	139	2	0	95	1	2	3	7	1	0	0	7	2	0	0
"544841"	0	0	0	0	0	0	10	0	0	14	0	2	0	0	0	0	0	0	0	0	0
"271297"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
"1108308"	0	0	0	0	0	0	0	0	0	26	0	5	0	0	0	0	0	0	0	0	0
"1011712"	2	0	0	0	0	0	0	0	0	15	3	9	0	0	0	0	0	11	3	0	0
"894928"	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"337083"	2062	610	298	816	2841	69	279	948	1675	0	536	15	4	212	490	84	8	187	222	1436	181
"861807"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
"539213"	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
"1057260"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"805854"	2	0	52	0	3	8	0	0	0	0	0	0	18	4	0	53	0	9	742	2	1075
"528421"	1	0	271	0	0	0	0	0	0	0	3	4	0	15	0	0	0	1	0	0	0
"133075"	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	2	0	0
"547396"	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0
"940737"	3	0	0	0	0	0	1	0	0	3	0	3	0	0	0	0	0	4	1	0	0
"903158"	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0
"308081"	5	13	4	24	17	0	4	6	22	0	9	0	3	0	20	2	3	3	2	11	4
"674655"	0	0	0	0	0	3	19	0	0	0	0	0	0	1	0	0	0	6	0	0	0
"209511"	0	0	1	0	0	0	0	5	0	0	0	0	0	1	2	0	0	0	0	0	0
"974121"	3	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	5	2	0	0
"1866742"	0	0	1	0	0	3	0	0	0	0	0	1	2	0	0	8	0	2	0	0	0
"1139618"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"388951"	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0
"566062"	1	1	0	0	0	5	0	5	0	0	0	0	0	0	0	3	0	3	0	0	0
"297672"	0	0	0	0	1	124	0	1	0	0	0	1	112	2	0	1	0	1	405	0	743
"1084865"	116	0	0	1	1	5	6	4	1	19	37	350	0	0	1	0	0	119	46	1	1
"849156"	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"829851"	14	0	0	0	0	0	0	1	0	0	1	21	0	0	0	0	0	3	0	0	0
"963779"	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
"265873"	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"804735"	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0
"1009894"	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0
"1009362"	4	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	3	0	0	0
"1082059"	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	1	0	0
"1097359"	25	0	4	0	0	3	6	0	0	0	0	29	0	0	0	0	0	7	6	0	0
"360432"	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"541299"	0	0	1	0	0	0	15	0	0	25	1	1	0	2	0	5	0	1	0	0	0
"276149"	21	0	0	0	0	0	13	0	0	0	0	96	0	0	0	0	0	0	0	0	0
"559613"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"780788"	1	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0
"97361"	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0
"914108"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"719367"	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"532419"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"2752360"	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1111944"	0	0	0	0	0	0	4	0	0	11	0	1	0	0	0	0	0	0	1	0	0
"541086"	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0
"558885"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0
"829814"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1042850"	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	1	0	0
"830688"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"1049387"	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0	2	0	0	0	0	0
"711803"	2	0	0	0	0	0	5	0	0	3	1	8	0	0	0	0	0	0	0	0	0
"1082539"	5	0	2	0	0	1	0	0	0	0	1	19	0	0	0	0	0	5	2	0	0
"1069816"	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0
"956625"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"593209"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"1062748"	3	0	0	0	0	0	4	0	0	7	0	6	0	0	0	1	0	0	3	0	0
"584109"	2	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	1	0	0
"308309"	15	8	7	16	33	1	5	16	29	0	4	0	0	6	14	0	0	4	7	16	3
"4385756"	0	9	2	10	3	1	4	3	3	0	1	0	0	13	4	3	0	0	2	3	36
"965048"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"1108960"	13	0	0	0	0	0	0	0	0	2	0	29	0	1	1	0	0	3	0	0	0
"574102"	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	0
"833317"	0	0	1	0	0	2	0	0	0	0	2	2	0	0	0	0	0	5	0	0	0
"132837"	2	13	41	0	0	46	1	0	0	0	0	1	18	0	6	455	0	7	0	3	2
"1107011"	0	0	1	0	0	0	11	0	0	0	22	0	0	0	0	0	0	53	11	0	0
"845561"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"987760"	7	7	4	2	4	3	17	23	0	0	2	15	17	8	23	58	2	88	0	2	0
"1044436"	0	0	0	0	2	0	6	0	0	0	4	1	0	0	0	0	0	26	1	0	0
"585648"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"547808"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"760967"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"836783"	7	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0
"906820"	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
"1007180"	3	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
"179845"	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	1	0	0	0	0	0
"785526"	2	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	0
"225795"	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
"687940"	6	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	2	0	0	0
"963854"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"590218"	0	0	1	0	0	15	0	1	0	0	0	1	1	0	0	0	0	14	0	0	0
"1068902"	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	1	0	0	0
"1099802"	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"579608"	19	0	0	0	0	0	0	0	0	0	3	91	0	0	0	0	0	6	3	0	0
"646549"	1	0	0	0	0	0	1	0	0	0	5	10	0	0	0	2	0	15	5	0	0
"902334"	0	4	1	0	0	0	1	0	0	0	0	0	0	0	4	74	4	18	0	0	0
"351979"	11	138	98	301	25	7	110	56	57	0	99	0	12	241	202	84	21	20	20	271	377
"351976"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
"540269"	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"403068"	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0
"941487"	7	0	0	0	0	6	0	0	0	0	2	10	0	0	0	0	0	0	1	0	0
"688714"	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
"503387"	2	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	4	0	0
"206826"	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0
"1040713"	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0
"777272"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"721526"	4	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
"839235"	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0
"580411"	1	0	2	0	0	0	2	0	0	0	1	4	1	0	2	0	0	0	0	0	0
"9510"	18	594	71	9	627	42	733	162	1564	0	124	58	79	16	100	604	0	22	1	1129	1
"156357"	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"768553"	0	0	26	4	0	12	0	0	0	0	4	0	0	5	0	3	0	0	0	0	0
"814277"	8	0	0	0	0	0	0	0	0	7	0	5	0	0	0	1	0	0	0	0	0
"529652"	0	6	1	3	1	0	10	19	1	0	4	0	0	26	30	0	1	0	0	0	0
"992510"	3	1	0	0	0	18	86	1	0	58	1	19	0	1	3	5	0	3	1	0	0
"128390"	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	14	8	0	0
"933546"	6	0	0	0	0	0	0	0	1	13	3	6	0	0	0	0	0	8	1	0	0
"807369"	0	0	3	0	1	0	0	2	0	0	0	0	0	2	0	0	1	61	1	0	0
"1020605"	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	2	0	1	0	0	0
"377613"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"822419"	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	0	0	0
"979107"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
"1075821"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
"889025"	6	0	3	0	0	0	1	0	0	0	0	11	0	0	0	0	0	1	0	0	0
"703741"	3	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	5	1	0	0
"582379"	1	6	30	108	7	0	0	12	43	0	31	1	0	21	12	0	840	2	0	0	0
"543151"	6	0	0	0	0	0	5	0	0	0	0	4	0	2	2	1	0	0	0	0	0
"1108275"	2	0	0	0	0	5	7	1	0	42	0	3	0	0	0	2	0	1	0	0	0
"1834768"	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
"160015"	0	10	2	0	13	2	17	4	32	0	9	0	2	0	2	16	0	0	0	34	0
"291844"	5	7	4	23	18	1	4	19	13	0	3	0	1	8	7	6	0	2	4	3	8
"538237"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"1105574"	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
"573035"	0	16	82	1	4	263	47	94	2	2561	17	0	21	27	55	168	2	115	7	0	0
"349901"	4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
"568556"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"590586"	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
"593724"	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"4440085"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"587532"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"288283"	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0
"996116"	2	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0
"900973"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0
"548576"	6	0	0	0	0	1	4	12	0	1	1	1	1	5	8	1	0	0	1	0	0
"1106324"	0	0	0	0	0	2	17	0	0	31	0	1	0	0	0	0	0	1	0	0	0
"288029"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"239345"	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4342113"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"553623"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"591748"	0	0	2	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0
"712677"	2	0	2	22	0	0	0	0	0	0	51	0	0	6	0	0	0	0	0	0	0
"828483"	22	751	188	507	688	57	388	1249	462	0	168	3	3	547	728	87	2	38	990	322	728
"539735"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"156109"	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"580495"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
"535375"	0	13	0	0	1	0	3	14	10	0	0	0	0	0	30	0	0	0	0	0	0
"667570"	5	0	0	0	0	0	1	0	0	0	2	12	0	0	0	1	0	0	0	0	0
"571320"	0	9	9	0	0	0	17	1	0	0	0	0	0	1	27	60	0	0	0	0	0
"1016923"	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0
"996487"	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0
"1084952"	2	0	0	0	0	0	0	0	0	8	3	33	0	0	0	0	1	2	3	0	0
"4422519"	4	0	0	0	0	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0	0
"1078248"	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
"1074625"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"544680"	8	0	13	0	0	145	0	0	0	0	0	3	22	0	0	178	0	65	0	0	0
"925494"	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
"807522"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1111582"	1	4	6	0	0	0	1	1	0	0	7	5	0	0	9	0	0	0	1	0	0
"861376"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"572889"	341	321	318	1092	202	9	158	331	390	0	812	4	7	911	443	318	81	26	43	349	406
"446403"	1	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	8	1	0	0
"34791"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1107128"	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	20	8	0	0
"589376"	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0
"553648"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"1108726"	2	1	1	0	0	5	78	2	0	55	0	0	3	7	0	6	0	5	0	0	0
"990864"	2	0	7	0	0	0	2	0	0	43	0	27	1	0	0	0	0	4	1	0	0
"359750"	1	11	7	20	7	2	6	28	7	0	3	0	0	19	9	0	0	0	32	10	44
"579141"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1076316"	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
"530833"	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0
"544313"	2	0	0	0	0	0	0	0	0	0	3	3	0	0	0	2	0	0	0	0	0
"1047041"	13	0	0	0	0	0	0	0	1	0	1	35	0	1	0	0	0	18	6	0	0
"570385"	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
"1078207"	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0
"593997"	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	1	0	0	0
"4318989"	2	0	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0	3	0	2	0
"1033018"	2	0	0	0	0	0	0	0	1	0	2	4	0	0	0	0	0	9	3	0	0
"835594"	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
"578837"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"570444"	0	2	2	0	0	8	1	1	0	0	0	0	2	1	0	0	0	3	0	0	0
"922761"	25	0	9	1	0	1	1	0	1	22	2	48	0	0	0	0	0	13	10	0	1
"4028105"	3	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
"777466"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"1099914"	3	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	4	4	0	0
"1048194"	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0
"534507"	0	0	0	0	0	0	1	0	0	0	1	15	0	0	0	0	0	3	0	0	0
"233981"	0	0	7	1	1	23	0	0	0	0	3	0	8	9	0	0	0	0	16	0	5
"1029165"	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
"998905"	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"563572"	0	1	0	0	0	0	0	1	0	0	1	0	0	3	3	0	1640	3	0	0	0
"581231"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"557690"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"1011954"	3	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	7	0	0	0
"1565317"	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"893979"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"584500"	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1074210"	8	0	0	0	0	4	0	0	0	0	2	17	0	1	0	0	0	3	3	0	0
"519864"	0	4	0	3	0	0	1	5	1	0	2	0	0	11	1	0	215	3	0	0	0
"589040"	0	0	2	1	0	1	2	20	0	28	0	0	11	0	0	0	0	0	0	0	0
"27938"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"589597"	6	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	9	2	0	0
"883748"	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
"739614"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"1068572"	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
