""	"AQ346"	"AQ317"	"AQ6"
"505587"	4	0	0
"919487"	1	0	0
"300811"	4	0	0
"180752"	0	5	0
"580743"	2	0	0
"609982"	2	5	0
"740871"	0	7	0
"1084157"	1	0	0
"805151"	5	0	0
"1111496"	16	0	0
"589792"	1	14	0
"420127"	2	0	0
"592628"	6	2	1
"369064"	2	0	0
"865469"	1	0	3
"1107027"	1	138	214
"585419"	0	1	0
"932696"	1	0	0
"550936"	5	0	0
"1060029"	5	0	0
"542066"	0	1	0
"561885"	1	0	0
"790545"	2	0	0
"1111294"	1	13	0
"876170"	2	1	0
"359984"	42	105	0
"580625"	3	0	0
"552922"	0	12	0
"558264"	2	0	0
"1101451"	3	5	0
"551969"	13	0	0
"1017181"	2	0	0
"367535"	40	17	0
"537290"	0	82	0
"984831"	6	0	0
"1080820"	1	0	0
"942852"	2	0	0
"588659"	10	0	0
"540737"	1	0	0
"1088305"	1	0	0
"988314"	6	34	0
"813945"	0	1	0
"183182"	0	1	0
"587912"	3	0	0
"589754"	1	0	0
"1013670"	1	0	0
"812496"	31	0	0
"1108289"	1	11	0
"574655"	3	0	0
"581982"	1	0	0
"818181"	4	0	0
"716006"	1	0	0
"1106617"	9	32	0
"269907"	1	0	0
"787709"	1	0	0
"968954"	3	0	0
"191237"	0	4	0
"1654477"	177	49	51
"1108638"	2	0	0
"239951"	0	1	0
"830290"	4	1	0
"806566"	0	1	0
"1083037"	2	0	0
"450209"	1	0	0
"540982"	111	3	0
"1082607"	1	0	0
"544847"	2	1	0
"544841"	0	1	0
"1108308"	1	0	0
"1011712"	1	0	0
"337083"	14	1	21
"861807"	1	0	0
"805854"	2	251	3330
"528421"	1	0	0
"133075"	2	0	0
"903158"	3	0	0
"308081"	21	0	6
"209511"	1	3	0
"974121"	3	0	0
"388951"	0	7	0
"566062"	1	0	0
"297672"	3	663	0
"1084865"	47	3	1
"829851"	0	1	0
"963779"	0	4	0
"1009894"	0	1	0
"1082059"	0	9	0
