""	"AQ994"	"AQ398"	"AQ448"
"505587"	16	0	0
"165827"	10	0	0
"820978"	1	0	0
"1086889"	3	0	0
"1076969"	2	0	0
"300811"	2	0	0
"552026"	1	0	0
"180752"	6	0	0
"609982"	1	0	17
"740871"	0	0	1
"1084157"	5	0	0
"364926"	0	37	0
"689950"	5	0	0
"810959"	4	0	0
"439036"	2	0	0
"322927"	3	0	3
"589792"	0	1	1
"588210"	0	0	2
"420127"	4	0	0
"592628"	2	2	1
"1077373"	1	0	0
"873887"	3	0	0
"369064"	1	0	0
"865469"	24	0	1
"1107027"	9	0	187
"585419"	16	0	0
"1091685"	1	0	0
"932696"	3	0	0
"1084417"	3	0	0
"1060029"	16	0	0
"542066"	8	0	3
"929901"	2	0	0
"759916"	9	0	0
"592832"	1	0	0
"561885"	4	0	0
"790545"	3	0	0
"1111294"	3	14	1
"876170"	5	0	0
"172413"	4	0	0
"586458"	2	0	0
"359984"	0	3	0
"580625"	5	0	0
"552922"	3	0	2
"363305"	1	0	0
"435928"	14	0	0
"1069592"	4	0	0
"918840"	3	0	0
"510422"	10	0	0
"1101451"	37	0	1
"551969"	0	91	0
"1017181"	8	0	0
"591699"	3	0	0
"248395"	1	0	0
"503174"	1	1	0
"262095"	0	32	0
"583656"	1	0	3
"367535"	0	68	0
"984831"	40	2	0
"1080820"	1	0	0
"942852"	2	0	0
"588659"	0	0	1
"540737"	4	0	0
"1081815"	5	0	0
"1088305"	22	0	0
"988314"	161	0	3
"956811"	5	0	0
"874750"	2	0	0
"813945"	16	0	0
"279204"	0	3	2
"510174"	10	0	0
"4307652"	2	0	0
"589754"	1	0	5
"1013670"	5	9	7
"898309"	2	0	0
"812496"	0	0	1
"1068470"	5	0	0
"1108289"	30	24	46
"574655"	3	0	0
"995960"	4	0	7
"1084906"	1	0	1
"860929"	1	0	0
"465989"	5	0	0
"37948"	1	12	5
"529216"	0	0	1
"543684"	10	0	0
"716006"	18	0	0
"386273"	2	0	0
"1106617"	9	12	26
"894774"	1	0	0
"269907"	5	0	0
"787709"	6	0	0
"968954"	17	0	0
"593376"	7	0	0
"559527"	1	0	0
"1654477"	1	818	29
"4404401"	11	0	2
"1108638"	7	0	0
"830290"	7	0	0
"806566"	0	2	2
"820086"	1	0	0
"1039872"	3	0	0
"1083037"	3	0	0
"450209"	4	0	0
"310003"	1	0	0
"540982"	0	466	0
"238940"	0	1	0
"1047075"	3	0	0
"697479"	1	0	0
"813418"	2	0	0
"544847"	0	1	1
"1108308"	1	0	2
"1011712"	1	0	0
"337083"	0	210	133
"861807"	2	0	0
"805854"	0	0	11
"528421"	4	0	0
"133075"	10	0	0
"547396"	0	5	10
"940737"	3	0	0
"903158"	10	0	0
"308081"	0	3	1
"209511"	0	1	0
"974121"	5	0	0
"1866742"	0	0	6
"388951"	1	0	0
"1084865"	379	1	2
"849156"	3	0	0
"829851"	18	0	0
"963779"	2	0	0
"804735"	6	0	0
"1009894"	4	0	0
"1009362"	3	0	0
"1082059"	2	0	2
"1097359"	60	0	1
"360432"	3	0	0
"541299"	3	0	4
"276149"	50	0	0
"780788"	9	0	0
"914108"	2	0	0
"719367"	3	0	0
"2752360"	1	2	2
"829814"	0	1	0
"1042850"	2	0	0
"711803"	1	0	1
"1082539"	9	0	0
"1069816"	3	0	0
"1062748"	2	0	1
"584109"	5	0	0
"308309"	0	0	1
"4385756"	0	3	0
"1108960"	28	0	0
"833317"	0	0	1
"132837"	0	0	206
"1107011"	1	0	1
"987760"	3	5	9
"585648"	0	0	1
"760967"	1	0	0
"836783"	5	0	0
"906820"	9	0	0
"1007180"	2	0	0
"785526"	4	0	0
"687940"	14	0	0
"590218"	0	0	1
"1068902"	2	0	1
"1099802"	3	0	0
"579608"	63	0	0
"646549"	14	0	0
"902334"	0	0	3
"351979"	0	153	0
"540269"	4	0	0
"403068"	3	0	0
"941487"	14	0	0
"688714"	11	0	0
"503387"	2	0	0
"206826"	7	0	0
"1040713"	1	1	0
"721526"	11	0	0
"839235"	3	0	0
"9510"	0	16	171
"156357"	0	2	0
"814277"	11	0	1
"529652"	0	125	0
"992510"	17	0	3
"128390"	5	0	0
"933546"	20	0	0
"1020605"	2	0	4
"822419"	9	0	0
"979107"	0	1	1
"1075821"	1	0	1
"889025"	14	0	0
"703741"	12	0	0
"582379"	1	33	0
"543151"	9	1	1
"1108275"	3	0	0
"827497"	4	0	0
"1834768"	2	0	2
"160015"	0	1	2
"291844"	0	2	1
"1105574"	7	0	0
"573035"	0	12	59
"349901"	11	0	0
"568556"	0	0	1
"288283"	1	0	0
"996116"	10	0	0
"900973"	3	0	0
"548576"	0	4	7
"1106324"	1	0	2
"588455"	1	0	0
"591748"	0	0	1
"712677"	0	0	19
"828483"	5	311	117
"535375"	0	134	0
"667570"	16	0	0
"571320"	0	80	7
"1016923"	4	0	0
"1084952"	11	0	0
"4422519"	4	0	0
"1005844"	0	0	1
"1078248"	2	0	0
"1074625"	3	0	0
"544680"	58	0	36
"1011088"	1	0	0
"925494"	3	0	0
"1111582"	7	7	1
"572889"	0	611	35
"446403"	6	0	0
"589376"	2	0	0
"1108726"	2	0	0
"990864"	17	0	2
"359750"	0	8	4
"579141"	2	0	0
"1076316"	3	0	0
"538602"	0	3	0
"530833"	8	0	0
"544313"	6	0	0
"1047041"	38	0	0
"570385"	12	0	0
"1078207"	3	0	0
"4318989"	7	0	0
"1033018"	7	0	0
"835594"	6	0	0
"578837"	1	0	0
"922761"	51	0	0
"4028105"	8	0	0
"777466"	2	0	0
"1099914"	7	0	0
"1048194"	4	0	0
"534507"	4	0	0
"233981"	0	4	0
"1029165"	2	0	0
"998905"	3	0	0
"563572"	0	4	0
"1011954"	13	0	0
"1565317"	6	0	0
"893979"	6	0	0
"1074210"	20	0	0
"519864"	0	20	0
"589597"	6	0	0
"883748"	7	0	0
"739614"	2	6	7
"1068572"	5	0	0
"593489"	2	0	0
"350697"	0	0	73
"1003206"	21	0	0
"4360168"	20	0	5
"1101488"	0	3	0
"1083194"	148	0	0
"255161"	2	0	0
"176591"	1	0	0
"917156"	1	0	0
"533373"	0	1	0
"889661"	5	0	0
"2855257"	9	0	0
"938948"	7	0	1
"879040"	16	0	0
"585493"	1	0	0
"1051517"	16	0	1
"1083508"	41	0	0
"1059729"	11	0	0
"564704"	1	0	0
"654742"	7	0	0
"1104529"	1	0	2
"536986"	0	2	51
"792393"	0	2	3
"833645"	1	0	0
"509913"	4	10	0
"1096738"	2	0	0
"1002005"	60	3	16
"1075891"	1	0	0
"578911"	4	0	0
"706432"	10	0	0
"966091"	6	0	0
"969805"	2	0	0
"516611"	2	0	0
"441265"	25	1	0
"New.0.ReferenceOTU384"	0	0	2
"New.0.ReferenceOTU246"	1	1	0
"New.0.ReferenceOTU584"	2	1	0
"New.0.ReferenceOTU827"	1	1	0
"New.0.ReferenceOTU174"	2	0	1
