""	"AQ161"	"AQ162"	"AQ450"	"AQ267"
"113013"	0	7	0	0
"563240"	0	1	0	0
"820978"	0	0	0	116
"300811"	0	0	0	1
"580743"	3	0	0	2
"609982"	1	0	0	0
"740871"	3	4	0	1
"1084157"	0	1	0	0
"364926"	0	0	2	9
"805151"	10	0	1	7
"612706"	0	1	0	0
"589792"	23	100	6	0
"588210"	1	0	0	0
"592628"	2	0	0	1
"369064"	0	3	0	0
"865469"	0	2	0	1
"539305"	1	2	0	0
"182418"	1	0	0	0
"550936"	0	0	4	0
"1060029"	1	0	0	0
"542066"	1	0	0	0
"929901"	0	1	0	0
"790545"	2	0	0	0
"1111294"	45	35	1	54
"1108208"	0	1	0	0
"334459"	0	1	0	0
"248648"	0	1	1	0
"552922"	2	0	0	0
"154960"	0	1	0	0
"809486"	0	0	0	1
"1101451"	4	1	1	1
"551969"	0	0	5	0
"1017181"	0	2	0	0
"591699"	0	2	0	0
"989870"	0	1	0	0
"262095"	1	0	1	18
"583656"	0	0	0	7
"367535"	0	0	3	2
"537290"	70	0	0	0
"984831"	0	3	0	1
"588659"	0	0	0	1
"988314"	18	13	6	0
"4395263"	1	0	0	0
"813945"	1	0	0	0
"183182"	1	0	0	0
"589754"	2	0	0	0
"1013670"	1	0	0	2
"1108289"	4	5	4	1
"818181"	1	0	0	3
"361600"	0	7	0	0
"1106617"	12	104	1	3
"754823"	0	1	0	0
"191237"	1	0	1	0
"1654477"	1170	110	37	978
"589547"	0	0	0	34
"239951"	3	0	0	0
"830290"	28	380	0	0
"806566"	1	0	0	0
"108049"	0	2	0	0
"310003"	1	0	0	0
"540982"	234	0	32	94
"238940"	0	1	0	0
"813418"	0	4	0	0
"544847"	3	47	0	0
"544841"	0	4	0	0
"271297"	0	0	0	1
"1108308"	0	0	0	1
"894928"	1	2	0	0
"337083"	61	159	57	201
"1057260"	1	0	0	0
"805854"	383	293	0	0
"528421"	0	1	0	0
"547396"	2	1	0	0
"308081"	0	0	1	8
"674655"	0	10	0	0
"209511"	33	31	5	4
"1866742"	0	0	0	6
"1139618"	2	0	0	0
"566062"	2	0	0	0
"297672"	87	0	0	0
"821717"	1	0	0	0
"1084865"	4	2	0	0
"829851"	1	0	0	0
"1082059"	6	9	3	4
"1097359"	3	4	0	0
"541299"	0	4	0	0
"559613"	0	0	0	1
"97361"	1	0	0	0
"2752360"	0	0	0	1
"1111944"	0	1	0	0
"541086"	2	0	0	0
"558885"	1	0	0	1
"829814"	0	2	0	0
"830688"	1	19	1	0
"1049387"	0	2	0	0
"711803"	0	1	0	0
"593209"	0	8	0	0
"1062748"	0	3	0	0
"584109"	0	2	0	0
"308309"	1	4	0	4
"4385756"	0	0	0	12
"132837"	3	0	0	0
"1107011"	1	0	0	0
"987760"	58	8	1	1
"953050"	1	0	0	0
"785526"	7	0	0	0
"902334"	0	0	2	0
"351979"	276	24	22	159
"836573"	1	0	0	0
"540269"	2	0	0	0
"580411"	16	12	1	0
"9510"	45	4	31	146
"156357"	29	0	0	0
"768553"	0	0	0	1
"529652"	0	1	0	7
"992510"	3	16	0	1
"807369"	1	0	0	1
"979107"	6	0	0	0
"1075821"	1	0	0	0
"889025"	0	4	0	0
"582379"	0	0	0	35
"823476"	3	210	0	0
"543151"	23	426	10	1
"827497"	0	2	0	0
"160015"	3	0	2	3
"291844"	2	4	1	6
"573035"	59	20	7	8
"590586"	0	3	0	0
"593724"	1	0	0	0
"4476095"	0	2	0	0
"288283"	1	0	0	0
"548576"	56	1564	8	3
"1106324"	0	4	0	0
"239345"	0	1	0	0
"4342113"	1	8	0	0
"553623"	3	1	1	0
"712677"	0	0	0	8
"828483"	141	343	18	1001
"539735"	1	0	0	0
"156109"	0	0	1	0
"152229"	1	0	0	0
"535375"	0	0	16	0
"571320"	0	0	1	0
"1084952"	0	2	0	0
"544680"	2	0	0	0
"566216"	1	2	0	0
"572889"	284	41	23	581
"34791"	0	0	0	9
"1108726"	1	27	0	0
"990864"	2	2	0	1
"359750"	4	4	0	27
"544313"	2	0	1	0
"570444"	1	0	3	1
"922761"	2	0	0	0
"777466"	1	1	0	0
"233981"	1044	0	0	2
"587444"	0	1	0	0
"563572"	0	0	0	2
"584500"	0	1	0	0
"1074210"	1	0	0	0
"519864"	0	0	0	2
"589040"	1	0	0	0
"27938"	2	57	1	2
"350697"	0	15	0	0
"648540"	1	1	0	0
"562010"	0	1	0	0
"1101488"	6	9	2	0
"1083194"	2	1	0	1
"255161"	1	0	0	0
"176591"	5	0	0	0
"533373"	13	0	0	10
"1051517"	1	0	0	0
"1083508"	1	1	0	0
"362965"	3	0	0	0
"1104529"	7	10	0	0
"41476"	0	2	0	0
"536986"	74	62	0	0
"792393"	1	3	0	102
"509913"	0	1	0	0
"1096738"	2	0	2	0
"1002005"	11	2	6	0
"269774"	1	4	0	0
"706432"	9	8	3	2
"814282"	0	13	2	0
"441265"	1	2	1	0
"New.0.ReferenceOTU121"	1	0	0	0
"New.0.ReferenceOTU587"	0	0	0	173
"New.0.ReferenceOTU584"	1	0	0	0
"New.0.ReferenceOTU827"	0	0	1	0
"New.0.ReferenceOTU177"	1	1	0	0
"New.0.ReferenceOTU174"	1	0	0	0
"New.0.ReferenceOTU712"	0	0	0	1
"New.0.ReferenceOTU300"	1	1	0	0
"New.0.ReferenceOTU302"	2	0	0	0
"New.0.ReferenceOTU392"	0	0	22	0
"New.0.ReferenceOTU347"	6	0	0	716
"New.0.ReferenceOTU179"	1	0	0	0
