""	"AQ422"	"AQ395"	"AQ60"	"AQ631"
"505587"	0	0	1	1
"820978"	0	0	0	29
"1076969"	0	0	0	2
"300811"	0	0	0	3
"580743"	0	0	2	0
"609982"	140	4	0	0
"1084157"	0	0	0	8
"364926"	0	0	1	5
"810959"	0	1	0	1
"805151"	0	6	1	4
"439036"	1	1	0	2
"589792"	1	0	0	0
"420127"	2	0	0	1
"592628"	1	3	2	2
"873887"	0	0	0	7
"369064"	0	0	0	1
"865469"	0	6	0	15
"1107027"	35	5	2219	201
"585419"	0	0	0	4
"1091685"	0	0	0	2
"932696"	0	0	0	2
"550936"	6	0	0	0
"1084417"	0	0	0	2
"1060029"	0	0	0	7
"542066"	6	0	0	0
"929901"	0	0	0	1
"759916"	0	4	0	1
"3507733"	0	2	0	0
"561885"	0	0	0	1
"790545"	0	0	0	2
"1111294"	4	9	69	28
"172413"	0	0	0	3
"788268"	0	0	0	1
"586458"	0	0	0	1
"217386"	1	0	0	0
"359984"	0	1	0	0
"334459"	0	1	10	1
"552922"	0	0	0	4
"435928"	0	1	0	5
"558264"	0	0	0	1
"510422"	0	0	0	2
"1101451"	0	2	0	20
"551969"	0	0	3	0
"1017181"	0	0	0	4
"591699"	0	0	0	1
"248395"	2	1	0	0
"262095"	0	0	0	24
"583656"	0	0	0	18
"367535"	0	0	2	2
"537290"	0	2	9	0
"984831"	0	0	0	8
"942852"	0	1	0	1
"588659"	0	0	1	1
"540737"	1	0	0	1
"1081815"	0	0	0	1
"1088305"	0	0	0	5
"988314"	2	7	0	54
"956811"	0	0	0	1
"4395263"	0	1	0	0
"813945"	0	0	0	4
"510174"	0	0	0	6
"4307652"	0	0	0	1
"589754"	0	0	1	0
"1013670"	0	2	0	1
"898309"	0	0	0	1
"1068470"	0	0	0	2
"1108289"	8	1	2	3
"574655"	0	0	0	5
"995960"	1	0	0	0
"1084906"	0	0	0	1
"860929"	0	0	0	1
"37948"	0	1	2	0
"543684"	0	0	0	3
"716006"	0	0	0	7
"1106617"	24	27	8	1
"894774"	0	0	0	3
"269907"	0	0	0	3
"787709"	0	0	0	1
"968954"	0	0	0	7
"593376"	0	0	0	3
"559527"	21	40	0	0
"1654477"	244	40	8	317
"4404401"	0	0	0	1
"1108638"	0	0	0	5
"830290"	1	0	9	1
"806566"	1	0	0	0
"450209"	0	0	0	1
"310003"	1	0	0	1
"540982"	0	5	5	33
"1082607"	0	1	0	2
"813418"	0	0	0	1
"544847"	2	10	0	1
"1011712"	0	0	0	1
"337083"	2057	7	42	100
"805854"	2	1	0	8
"528421"	0	0	0	51
"133075"	0	0	0	2
"547396"	2	0	1	0
"940737"	0	0	0	1
"903158"	0	0	0	2
"308081"	10	4	1	1
"209511"	1	0	0	0
"974121"	0	0	0	1
"1866742"	3	2	0	0
"388951"	0	0	0	3
"566062"	6	0	0	1
"1084865"	0	0	0	77
"849156"	0	0	0	2
"829851"	0	0	0	6
"963779"	0	0	0	2
"265873"	1	0	0	0
"804735"	0	0	0	1
"1009362"	0	0	0	3
"1082059"	2	0	1	2
"1097359"	0	0	0	12
"541299"	0	0	0	2
"276149"	0	0	0	23
"780788"	0	0	0	2
"914108"	4	0	0	0
"719367"	0	0	0	2
"532419"	0	0	0	1
"2752360"	0	8	0	0
"711803"	0	0	0	3
"1082539"	0	0	0	4
"1062748"	2	0	0	2
"584109"	0	0	0	2
"308309"	17	0	1	1
"4385756"	0	0	1	0
"965048"	0	0	0	1
"1108960"	0	0	0	7
"833317"	1	0	0	0
"132837"	86	14	3	7
"987760"	4	5	1	0
"760967"	0	0	0	2
"836783"	2	0	0	1
"906820"	0	0	0	1
"1007180"	0	0	0	3
"785526"	0	0	0	2
"687940"	0	0	0	6
"590218"	0	0	2	0
"1068902"	0	0	0	1
"666666"	1	1	0	0
"579608"	0	0	0	24
"646549"	1	0	0	2
"902334"	12	0	1	0
